interaction_id,max_chunk_similarity,mean_chunk_similarity,min_chunk_similarity,p_know,response_word_count,avg_word_length,technical_term_count,sentence_count,avg_sentence_length,has_punctuation_structure,label_Groundedness,label_Correctness,label_Clarity,label_Pedagogical fit
2,0.8259113862736055,0.747478246383027,0.6712167085955087,0.33715359323626115,95,5.189473684210526,6,6,15.833333333333334,1,3.88,4.25,4.06,4.25
52,0.7116416753959446,0.6592252253263995,0.6201675412795739,0.3428571426707145,132,4.4772727272727275,4,7,18.857142857142858,1,4.31,4.19,4.38,4.44
6,0.7565417822801536,0.5831679362869052,0.4046422967739152,0.1,176,4.2272727272727275,0,8,22.0,1,4.0,4.06,4.12,4.5
7,0.7609107038429126,0.6376081872411231,0.4510846644631047,0.5333333333333333,47,5.340425531914893,0,3,15.666666666666666,1,4.19,4.31,4.06,4.56
29,0.8124347036778646,0.5646114877579816,0.4121535946945128,0.6450194049159119,37,4.648648648648648,0,2,18.5,1,4.31,4.31,4.25,4.56
30,0.6636606876427836,0.5105591254966803,0.35388610761381545,0.9237202652793773,24,5.083333333333333,0,2,12.0,1,4.31,4.19,4.06,4.44
14,0.7346818727768412,0.5563313124985961,0.45734593011536484,0.6450194049159119,24,5.5,0,2,12.0,1,4.0,4.5,4.19,4.31
15,0.8080895814402465,0.776069639345948,0.7505799500379419,0.1,142,3.8732394366197185,0,8,17.75,1,3.94,4.12,4.5,4.19
16,0.8397966251561818,0.7542502847655443,0.6588760299110538,0.5333333333333333,49,5.040816326530612,0,3,16.333333333333332,1,4.31,4.25,4.25,4.5
36,0.8353673213784273,0.7697273328160215,0.7094297927421425,0.5518432104526364,55,4.636363636363637,0,3,18.333333333333332,1,4.25,4.12,4.38,4.56
18,0.8178140372262384,0.6401446586475957,0.5394163088444598,0.1,175,3.9828571428571427,0,14,12.5,1,4.25,4.44,4.06,4.25
19,0.7609373208757848,0.6994942648555255,0.657037242262238,0.5333333333333333,27,5.0,0,2,13.5,1,4.38,4.62,4.38,4.69
20,0.72904271665424,0.6419845006720885,0.5799047722154874,0.3875,48,5.291666666666667,0,4,12.0,1,4.0,4.38,3.88,4.44
21,0.7227699694267248,0.6743817158965636,0.614035849411537,0.5333333333333333,107,4.981308411214953,1,4,26.75,1,4.31,4.44,4.5,4.44
22,0.6355361540124171,0.5384299953691571,0.4891805089741505,0.8860465116279069,27,6.111111111111111,2,3,9.0,1,4.12,4.19,4.12,4.25
23,0.8093649789928896,0.7605200082978927,0.7152314800637627,0.6450194049159119,50,4.2,1,3,16.666666666666668,1,4.12,4.38,4.25,4.0
31,0.7153142921854215,0.549059541315371,0.4415870374437173,0.721526616373173,41,5.585365853658536,0,5,8.2,1,4.06,3.75,3.88,4.31
34,0.7879858986959645,0.7414544358312201,0.680706841372654,0.3875,116,4.543103448275862,0,7,16.571428571428573,1,4.0,3.81,4.0,4.06
37,0.7100509403596248,0.44644844038306924,0.26707013553849634,0.8929848299135639,53,5.0754716981132075,0,4,13.25,1,4.31,4.31,4.38,4.06
39,0.7737921498557248,0.6162771873831909,0.5295022649479413,0.3875,157,4.738853503184713,1,8,19.625,1,3.94,4.25,4.25,4.44
